Chr,start,end,mid,sites,Pi,perc_RAD
III,7590001,7600000,7595840,425,0.015,40%
III,10240001,10250000,10244240,179,0.0,40%
III,11780001,11790000,11786638,180,0.0025,40%
III,12660001,12670000,12664250,164,0.0039,40%
IV,2170001,2180000,2175631,238,0.0015,40%
IV,4410001,4420000,4416628,229,0.0075,40%
IV,4420001,4430000,4422974,171,0.0193,40%
IV,6110001,6120000,6117172,240,0.0,40%
IV,6960001,6970000,6965992,160,0.0,40%
IV,8220001,8230000,8225456,179,0.0008,40%
IV,8300001,8310000,8305130,180,0.0009,40%
IV,9580001,9590000,9585583,210,0.0,40%
IV,10140001,10150000,10147173,180,0.0005,40%
IV,10580001,10590000,10584603,180,0.0,40%
IV,10670001,10680000,10675337,270,0.0011,40%
IV,11680001,11690000,11685901,210,0.0006,40%
IV,11940001,11950000,11947023,163,0.0,40%
IV,12140001,12150000,12144893,240,0.0,40%
IV,13830001,13840000,13834669,180,0.0024,40%
V,4890001,4900000,4893539,171,0.0,40%
V,5070001,5080000,5074371,269,0.0139,40%
V,5180001,5190000,5185049,187,0.0007,40%
V,6600001,6610000,6605118,180,0.0,40%
V,6640001,6650000,6645652,267,0.0019,40%
V,8690001,8700000,8697771,201,0.0013,40%
V,8700001,8710000,8701280,250,0.0095,40%
V,8750001,8760000,8754981,180,0.0005,40%
V,9180001,9190000,9188285,180,0.0,40%
V,9320001,9330000,9326447,180,0.0,40%
V,9460001,9470000,9464865,180,0.0,40%
V,9530001,9540000,9536115,240,0.0,40%
V,9590001,9600000,9595492,180,0.0005,40%
V,10800001,10810000,10803904,177,0.0,40%
V,11030001,11040000,11032350,180,0.0,40%
V,11820001,11830000,11825078,208,0.0,40%
V,11930001,11940000,11933278,180,0.0,40%
V,11940001,11950000,11946271,209,0.0,40%
V,13590001,13600000,13595408,180,0.0005,40%
V,14290001,14300000,14293858,170,0.0,40%
V,19880001,19890000,19884838,195,0.006,40%
X,980001,990000,984484,180,0.0005,40%
X,1660001,1670000,1666171,178,0.0013,40%
X,6620001,6630000,6624071,210,0.0008,40%
X,6650001,6660000,6655379,165,0.0006,40%
X,8530001,8540000,8537819,160,0.0032,40%
X,9450001,9460000,9455440,180,0.0,40%
X,9670001,9680000,9677145,180,0.0005,40%
X,9790001,9800000,9795482,206,0.0009,40%
X,11780001,11790000,11788657,226,0.0084,40%
X,12280001,12290000,12284821,210,0.0,40%
X,16910001,16920000,16915040,179,0.0,40%
I,420001,430000,424988,180,0.0026,50%
I,1240001,1250000,1242676,161,0.0031,50%
I,1460001,1470000,1465712,187,0.0144,50%
I,2310001,2320000,2314713,207,0.0039,50%
I,2450001,2460000,2453138,180,0.0019,50%
I,3100001,3110000,3105876,180,0.0,50%
I,3610001,3620000,3613285,207,0.0,50%
I,3710001,3720000,3716064,180,0.0009,50%
I,3830001,3840000,3835583,180,0.0,50%
I,3930001,3940000,3936200,180,0.0009,50%
I,4820001,4830000,4824739,210,0.0004,50%
I,5270001,5280000,5276577,176,0.001,50%
I,5650001,5660000,5655180,180,0.0013,50%
I,5660001,5670000,5665052,180,0.0005,50%
I,6010001,6020000,6014187,164,0.0,50%
I,6040001,6050000,6044450,204,0.0,50%
I,6240001,6250000,6245045,180,0.0009,50%
I,6560001,6570000,6565425,180,0.0,50%
I,6730001,6740000,6735079,180,0.0,50%
I,6820001,6830000,6823606,210,0.0,50%
I,6830001,6840000,6835799,180,0.0,50%
I,6940001,6950000,6945114,180,0.0,50%
I,7010001,7020000,7017038,205,0.0,50%
I,7160001,7170000,7163798,240,0.0,50%
I,7580001,7590000,7584429,180,0.0,50%
I,7600001,7610000,7605367,240,0.0,50%
I,7680001,7690000,7683479,180,0.0,50%
I,7730001,7740000,7735079,240,0.0,50%
I,8170001,8180000,8173559,168,0.0011,50%
I,8490001,8500000,8495123,180,0.0,50%
I,8790001,8800000,8795054,210,0.0004,50%
I,8810001,8820000,8815175,180,0.0019,50%
I,9560001,9570000,9564528,180,0.0005,50%
I,10260001,10270000,10267278,326,0.0059,50%
I,10270001,10280000,10273281,197,0.0138,50%
I,10690001,10700000,10692454,167,0.0,50%
I,11290001,11300000,11292900,208,0.003,50%
I,12320001,12330000,12322827,208,0.0012,50%
I,12960001,12970000,12963360,180,0.0,50%
I,13180001,13190000,13183924,179,0.0009,50%
I,13210001,13220000,13216153,208,0.0011,50%
I,13770001,13780000,13776730,164,0.0,50%
I,13820001,13830000,13824492,184,0.0024,50%
I,14540001,14550000,14543461,164,0.0007,50%
II,40001,50000,44438,160,0.0,50%
II,110001,120000,115845,180,0.0005,50%
II,3620001,3630000,3626444,185,0.0083,50%
II,3630001,3640000,3632688,204,0.0063,50%
II,4580001,4590000,4583464,206,0.0,50%
II,5090001,5100000,5096475,194,0.0143,50%
II,5700001,5710000,5705060,173,0.0006,50%
II,5850001,5860000,5855704,180,0.0,50%
II,5880001,5890000,5884586,180,0.002,50%
II,6270001,6280000,6277936,180,0.0,50%
II,6360001,6370000,6365341,180,0.0,50%
II,6770001,6780000,6775982,180,0.0,50%
II,6830001,6840000,6834794,180,0.0023,50%
II,6920001,6930000,6924523,210,0.0008,50%
II,7000001,7010000,7005693,210,0.0004,50%
II,7180001,7190000,7185782,180,0.0,50%
II,7250001,7260000,7254449,180,0.0,50%
II,7740001,7750000,7745153,180,0.0,50%
II,7850001,7860000,7855352,180,0.0005,50%
II,7860001,7870000,7863613,240,0.0003,50%
II,8270001,8280000,8272661,174,0.0,50%
II,8490001,8500000,8493994,216,0.0004,50%
II,8660001,8670000,8666191,240,0.001,50%
II,9230001,9240000,9236308,210,0.0012,50%
II,9330001,9340000,9334406,210,0.0004,50%
II,9470001,9480000,9474673,180,0.0,50%
II,10290001,10300000,10295090,210,0.0004,50%
II,10300001,10310000,10304855,180,0.0,50%
II,10580001,10590000,10586873,163,0.0,50%
II,11050001,11060000,11055225,180,0.0005,50%
II,11080001,11090000,11086279,207,0.0,50%
II,11320001,11330000,11321750,208,0.0055,50%
II,11340001,11350000,11344980,240,0.001,50%
II,11550001,11560000,11554826,172,0.0021,50%
II,13120001,13130000,13124627,178,0.0047,50%
III,1150001,1160000,1156431,177,0.0005,50%
III,3440001,3450000,3443925,160,0.0031,50%
III,4700001,4710000,4705028,210,0.0004,50%
III,4850001,4860000,4853764,180,0.0005,50%
III,4930001,4940000,4936421,180,0.0,50%
III,5170001,5180000,5174112,256,0.0006,50%
III,5180001,5190000,5185247,210,0.0,50%
III,5190001,5200000,5195965,163,0.0007,50%
III,5220001,5230000,5226590,180,0.0,50%
III,5260001,5270000,5264102,167,0.0,50%
III,5500001,5510000,5503877,179,0.0008,50%
III,5790001,5800000,5794960,205,0.0022,50%
III,5850001,5860000,5854490,193,0.001,50%
III,6430001,6440000,6435180,180,0.0,50%
III,6900001,6910000,6905360,180,0.0019,50%
III,6910001,6920000,6914603,210,0.005,50%
III,7280001,7290000,7284012,180,0.0,50%
III,7380001,7390000,7383712,240,0.0,50%
III,7590001,7600000,7595565,436,0.0155,50%
III,7700001,7710000,7703616,180,0.0,50%
III,7750001,7760000,7753585,162,0.0,50%
III,7820001,7830000,7824601,180,0.0,50%
III,7950001,7960000,7953998,180,0.0005,50%
III,8050001,8060000,8056028,180,0.0,50%
III,8060001,8070000,8064716,180,0.0021,50%
III,8110001,8120000,8115384,239,0.0035,50%
III,9040001,9050000,9047011,210,0.0031,50%
III,9080001,9090000,9085735,180,0.0,50%
III,9220001,9230000,9226591,180,0.0,50%
III,9710001,9720000,9716494,180,0.0,50%
III,10130001,10140000,10135947,198,0.0029,50%
III,10240001,10250000,10244628,179,0.0,50%
III,10590001,10600000,10593073,209,0.0004,50%
III,10740001,10750000,10745145,180,0.0018,50%
III,10950001,10960000,10954007,171,0.0031,50%
III,13500001,13510000,13506077,180,0.0,50%
IV,450001,460000,455161,178,0.0038,50%
IV,2170001,2180000,2176087,180,0.0013,50%
IV,2230001,2240000,2234385,177,0.0057,50%
IV,2370001,2380000,2376124,201,0.0005,50%
IV,2600001,2610000,2604184,176,0.0031,50%
IV,2610001,2620000,2616643,179,0.0023,50%
IV,2670001,2680000,2674534,184,0.0,50%
IV,3280001,3290000,3286081,177,0.0018,50%
IV,3410001,3420000,3413759,180,0.0013,50%
IV,4410001,4420000,4416722,209,0.011,50%
IV,4420001,4430000,4422628,175,0.0084,50%
IV,4870001,4880000,4874885,180,0.0014,50%
IV,5990001,6000000,5993517,180,0.0,50%
IV,6110001,6120000,6116942,180,0.0,50%
IV,7230001,7240000,7234118,180,0.0,50%
IV,7540001,7550000,7545572,180,0.0,50%
IV,8230001,8240000,8234951,163,0.0007,50%
IV,9350001,9360000,9356291,210,0.0008,50%
IV,9430001,9440000,9432652,210,0.0,50%
IV,10140001,10150000,10146483,210,0.0004,50%
IV,10160001,10170000,10163558,209,0.0004,50%
IV,10880001,10890000,10883339,180,0.0,50%
IV,11570001,11580000,11575172,180,0.0,50%
IV,11620001,11630000,11623949,210,0.0004,50%
IV,11740001,11750000,11743292,180,0.0,50%
IV,11790001,11800000,11793922,204,0.0008,50%
IV,11950001,11960000,11955218,210,0.0012,50%
IV,12260001,12270000,12265275,240,0.0022,50%
IV,13820001,13830000,13824129,180,0.0,50%
IV,13870001,13880000,13875297,179,0.0026,50%
IV,15040001,15050000,15046185,174,0.0,50%
IV,16250001,16260000,16255126,165,0.0006,50%
IV,16540001,16550000,16544563,160,0.0,50%
IV,17330001,17340000,17334652,180,0.0,50%
V,170001,180000,174200,180,0.0017,50%
V,4890001,4900000,4894527,171,0.0,50%
V,5070001,5080000,5074795,258,0.0136,50%
V,5180001,5190000,5183960,269,0.0004,50%
V,5810001,5820000,5814962,179,0.0,50%
V,6370001,6380000,6374172,180,0.0,50%
V,6640001,6650000,6645536,297,0.0,50%
V,6670001,6680000,6675207,180,0.0,50%
V,7020001,7030000,7025470,180,0.0009,50%
V,8420001,8430000,8422990,179,0.0014,50%
V,8440001,8450000,8442513,168,0.0,50%
V,8580001,8590000,8583432,180,0.0,50%
V,8700001,8710000,8700930,306,0.0094,50%
V,9460001,9470000,9465534,180,0.0,50%
V,9530001,9540000,9535947,270,0.0,50%
V,9560001,9570000,9564482,270,0.0,50%
V,9740001,9750000,9743299,180,0.0,50%
V,10410001,10420000,10413703,270,0.0026,50%
V,11220001,11230000,11225047,180,0.0,50%
V,11430001,11440000,11434821,206,0.0004,50%
V,11740001,11750000,11747146,180,0.0,50%
V,11800001,11810000,11805644,180,0.0,50%
V,11820001,11830000,11823390,208,0.0,50%
V,11930001,11940000,11935288,180,0.0,50%
V,11940001,11950000,11945803,179,0.0,50%
V,12000001,12010000,12004285,180,0.0,50%
V,12040001,12050000,12044414,210,0.0016,50%
V,12270001,12280000,12274522,166,0.0,50%
V,12750001,12760000,12755114,177,0.0,50%
V,12830001,12840000,12835272,180,0.0009,50%
V,12920001,12930000,12923191,180,0.0,50%
V,13350001,13360000,13356012,180,0.0,50%
V,13480001,13490000,13484746,161,0.0,50%
V,13590001,13600000,13595600,180,0.0005,50%
V,13820001,13830000,13825357,180,0.0,50%
V,14550001,14560000,14555440,210,0.0004,50%
V,14670001,14680000,14672833,179,0.0,50%
V,14690001,14700000,14693675,206,0.0,50%
V,15470001,15480000,15474028,180,0.0,50%
X,170001,180000,174656,165,0.001,50%
X,1640001,1650000,1644637,176,0.0003,50%
X,1650001,1660000,1656411,180,0.0009,50%
X,2720001,2730000,2724428,240,0.0007,50%
X,2760001,2770000,2763742,180,0.0,50%
X,3240001,3250000,3244115,180,0.0,50%
X,3830001,3840000,3836764,179,0.0005,50%
X,4400001,4410000,4404202,180,0.0005,50%
X,5430001,5440000,5434048,166,0.0029,50%
X,6580001,6590000,6582924,179,0.0,50%
X,6620001,6630000,6625600,180,0.0009,50%
X,8920001,8930000,8924243,217,0.0028,50%
X,9190001,9200000,9194435,179,0.0045,50%
X,9780001,9790000,9786717,240,0.0,50%
X,10620001,10630000,10626934,180,0.0005,50%
X,11780001,11790000,11788562,259,0.0086,50%
X,12280001,12290000,12285469,231,0.0,50%
X,15680001,15690000,15688325,174,0.0073,50%
X,17050001,17060000,17055501,180,0.0,50%
X,17360001,17370000,17365148,180,0.0013,50%
I,510001,520000,514849,185,0.0,60%
I,1030001,1040000,1034136,167,0.0051,60%
I,3100001,3110000,3104921,169,0.0,60%
I,3550001,3560000,3556519,179,0.0022,60%
I,3710001,3720000,3715829,180,0.0009,60%
I,3830001,3840000,3836865,172,0.0,60%
I,4110001,4120000,4113288,179,0.0031,60%
I,4380001,4390000,4383889,180,0.0005,60%
I,4390001,4400000,4396012,240,0.0,60%
I,4690001,4700000,4693157,210,0.0,60%
I,4820001,4830000,4826381,180,0.0009,60%
I,5110001,5120000,5115196,180,0.0,60%
I,5160001,5170000,5164707,210,0.0008,60%
I,5170001,5180000,5175288,180,0.0,60%
I,5540001,5550000,5545364,180,0.0028,60%
I,5560001,5570000,5565769,210,0.0,60%
I,5650001,5660000,5654924,210,0.0004,60%
I,5810001,5820000,5813987,210,0.0,60%
I,6010001,6020000,6015303,179,0.0,60%
I,6040001,6050000,6043930,204,0.0,60%
I,6080001,6090000,6086769,207,0.0016,60%
I,6180001,6190000,6185189,201,0.0,60%
I,6280001,6290000,6284709,180,0.0009,60%
I,6700001,6710000,6704362,188,0.0004,60%
I,6720001,6730000,6725102,210,0.0,60%
I,6910001,6920000,6914853,180,0.0,60%
I,6970001,6980000,6975373,210,0.0,60%
I,7010001,7020000,7016428,205,0.0,60%
I,7090001,7100000,7095333,180,0.0,60%
I,7580001,7590000,7583521,180,0.0,60%
I,7600001,7610000,7605110,180,0.0,60%
I,7730001,7740000,7735719,180,0.0,60%
I,7880001,7890000,7885491,179,0.0009,60%
I,8010001,8020000,8016012,210,0.0007,60%
I,8050001,8060000,8055099,180,0.0,60%
I,8170001,8180000,8174425,180,0.0013,60%
I,8360001,8370000,8364196,180,0.0,60%
I,8550001,8560000,8554470,180,0.0,60%
I,8760001,8770000,8765390,240,0.0,60%
I,8790001,8800000,8795762,238,0.0003,60%
I,8910001,8920000,8915724,270,0.0,60%
I,8960001,8970000,8967100,186,0.0,60%
I,9490001,9500000,9494219,189,0.0,60%
I,9600001,9610000,9605680,180,0.0013,60%
I,9750001,9760000,9754705,180,0.0,60%
I,9780001,9790000,9786250,180,0.0,60%
I,9960001,9970000,9965782,179,0.0,60%
I,10120001,10130000,10125410,210,0.0,60%
I,10260001,10270000,10266936,186,0.003,60%
I,10270001,10280000,10273502,351,0.0169,60%
I,10340001,10350000,10345465,240,0.0,60%
I,10470001,10480000,10474355,180,0.0,60%
I,10670001,10680000,10675065,282,0.0008,60%
I,10690001,10700000,10692196,197,0.0023,60%
I,10780001,10790000,10785623,161,0.0014,60%
I,10790001,10800000,10794038,180,0.0,60%
I,11270001,11280000,11276686,179,0.0024,60%
I,11290001,11300000,11293285,180,0.0036,60%
I,11500001,11510000,11505515,179,0.004,60%
I,12410001,12420000,12414530,210,0.0048,60%
I,12500001,12510000,12504375,269,0.002,60%
I,12540001,12550000,12545275,161,0.002,60%
I,13180001,13190000,13183877,210,0.0009,60%
I,13200001,13210000,13204816,210,0.0044,60%
I,13210001,13220000,13216595,168,0.0045,60%
I,13300001,13310000,13305808,193,0.0028,60%
I,13310001,13320000,13315669,210,0.0004,60%
I,13820001,13830000,13824732,362,0.0029,60%
I,13950001,13960000,13956372,161,0.0019,60%
I,14240001,14250000,14244613,179,0.0025,60%
I,14280001,14290000,14284880,210,0.0008,60%
I,14540001,14550000,14543317,188,0.0005,60%
I,14570001,14580000,14575076,175,0.0012,60%
I,14770001,14780000,14775695,176,0.0089,60%
I,15000001,15010000,15006819,180,0.0,60%
I,15010001,15020000,15014792,270,0.0,60%
II,40001,50000,46084,180,0.0,60%
II,50001,60000,56232,179,0.0028,60%
II,140001,150000,144735,169,0.0,60%
II,2460001,2470000,2463663,168,0.0014,60%
II,3130001,3140000,3135629,178,0.003,60%
II,3440001,3450000,3446543,164,0.0018,60%
II,3630001,3640000,3633221,174,0.0049,60%
II,3900001,3910000,3906320,209,0.0081,60%
II,4060001,4070000,4063258,177,0.0,60%
II,4310001,4320000,4312760,164,0.0,60%
II,4580001,4590000,4585035,180,0.0025,60%
II,4660001,4670000,4662788,180,0.0,60%
II,4840001,4850000,4845288,180,0.0005,60%
II,5090001,5100000,5095967,233,0.0106,60%
II,5410001,5420000,5414840,180,0.0014,60%
II,5450001,5460000,5456180,180,0.0009,60%
II,5490001,5500000,5495112,270,0.0019,60%
II,5610001,5620000,5614334,180,0.0017,60%
II,5620001,5630000,5625500,281,0.0,60%
II,5630001,5640000,5635764,180,0.0,60%
II,5770001,5780000,5775503,180,0.0,60%
II,5810001,5820000,5815751,180,0.0065,60%
II,6110001,6120000,6114598,180,0.0005,60%
II,6190001,6200000,6191597,172,0.0026,60%
II,6610001,6620000,6614118,179,0.001,60%
II,6990001,7000000,6995585,162,0.0046,60%
II,7000001,7010000,7005513,210,0.0004,60%
II,7190001,7200000,7194672,180,0.0,60%
II,7270001,7280000,7274653,180,0.0,60%
II,7360001,7370000,7363616,180,0.0048,60%
II,7370001,7380000,7376469,259,0.0026,60%
II,7460001,7470000,7466081,180,0.0,60%
II,7530001,7540000,7536781,210,0.0,60%
II,8000001,8010000,8005032,178,0.003,60%
II,8110001,8120000,8115316,180,0.0,60%
II,8230001,8240000,8235837,240,0.0,60%
II,8270001,8280000,8274231,210,0.0,60%
II,8330001,8340000,8335218,210,0.0,60%
II,8380001,8390000,8383277,180,0.0,60%
II,8520001,8530000,8524093,180,0.0,60%
II,8550001,8560000,8556458,180,0.0005,60%
II,8650001,8660000,8654263,198,0.0011,60%
II,8810001,8820000,8814116,180,0.0,60%
II,8850001,8860000,8853395,180,0.0005,60%
II,9030001,9040000,9036642,240,0.0006,60%
II,9110001,9120000,9114901,180,0.0,60%
II,9230001,9240000,9235654,180,0.0009,60%
II,9490001,9500000,9494940,210,0.0008,60%
II,9860001,9870000,9864882,188,0.0,60%
II,9940001,9950000,9943839,166,0.0023,60%
II,10040001,10050000,10045904,210,0.0023,60%
II,10060001,10070000,10066271,166,0.0006,60%
II,10290001,10300000,10294764,180,0.0005,60%
II,10300001,10310000,10304053,180,0.0,60%
II,10390001,10400000,10396590,210,0.0,60%
II,10580001,10590000,10585740,193,0.0,60%
II,10590001,10600000,10596714,168,0.0026,60%
II,10660001,10670000,10664702,209,0.0012,60%
II,11240001,11250000,11245452,210,0.0007,60%
II,11320001,11330000,11324492,209,0.0045,60%
II,11340001,11350000,11344251,240,0.0003,60%
II,11790001,11800000,11795718,180,0.0009,60%
II,12150001,12160000,12154757,212,0.002,60%
II,13100001,13110000,13105330,180,0.0028,60%
II,13120001,13130000,13124416,249,0.0031,60%
II,13600001,13610000,13604639,178,0.0008,60%
II,13770001,13780000,13776409,203,0.0101,60%
II,14210001,14220000,14214404,240,0.0023,60%
II,14420001,14430000,14423920,180,0.0,60%
II,15150001,15160000,15155377,180,0.0009,60%
III,70001,80000,73409,167,0.0035,60%
III,400001,410000,403991,175,0.002,60%
III,490001,500000,495271,180,0.0,60%
III,620001,630000,625431,180,0.0,60%
III,710001,720000,716394,168,0.003,60%
III,870001,880000,876575,179,0.0,60%
III,1160001,1170000,1168475,173,0.0051,60%
III,3170001,3180000,3174381,210,0.0,60%
III,3440001,3450000,3442678,190,0.0,60%
III,3470001,3480000,3474062,180,0.0,60%
III,3930001,3940000,3935374,180,0.0005,60%
III,4110001,4120000,4113588,187,0.0,60%
III,4340001,4350000,4343267,210,0.0017,60%
III,4780001,4790000,4783812,180,0.0,60%
III,4850001,4860000,4854773,210,0.0004,60%
III,4880001,4890000,4886038,180,0.0025,60%
III,5150001,5160000,5155249,180,0.003,60%
III,5190001,5200000,5196342,163,0.0006,60%
III,5220001,5230000,5225788,210,0.0004,60%
III,5230001,5240000,5236097,210,0.0,60%
III,5260001,5270000,5263646,167,0.0,60%
III,5320001,5330000,5325216,214,0.0,60%
III,5480001,5490000,5484338,223,0.0015,60%
III,5850001,5860000,5854934,164,0.0,60%
III,6270001,6280000,6275064,180,0.0,60%
III,6430001,6440000,6434077,165,0.0,60%
III,6450001,6460000,6454625,180,0.0005,60%
III,6580001,6590000,6583016,180,0.0005,60%
III,6960001,6970000,6963858,202,0.0004,60%
III,6980001,6990000,6982585,172,0.0,60%
III,7140001,7150000,7144266,180,0.006,60%
III,7150001,7160000,7154890,210,0.0007,60%
III,7160001,7170000,7162820,179,0.0,60%
III,7380001,7390000,7383617,240,0.0,60%
III,7590001,7600000,7596317,564,0.0149,60%
III,7740001,7750000,7744957,228,0.0045,60%
III,7850001,7860000,7854178,180,0.0,60%
III,8050001,8060000,8055748,217,0.0,60%
III,8060001,8070000,8065312,240,0.0019,60%
III,8110001,8120000,8115148,239,0.0035,60%
III,8250001,8260000,8253103,180,0.0005,60%
III,8420001,8430000,8422342,180,0.0,60%
III,8750001,8760000,8754412,240,0.0018,60%
III,9020001,9030000,9024245,180,0.0005,60%
III,9030001,9040000,9034287,180,0.0005,60%
III,9040001,9050000,9045909,249,0.0026,60%
III,9070001,9080000,9076138,180,0.0,60%
III,9260001,9270000,9265662,168,0.0011,60%
III,9340001,9350000,9343712,180,0.0005,60%
III,9580001,9590000,9584444,187,0.0,60%
III,9610001,9620000,9615369,180,0.0,60%
III,9950001,9960000,9953734,179,0.0037,60%
III,9980001,9990000,9983739,180,0.0038,60%
III,10590001,10600000,10594965,239,0.0,60%
III,10690001,10700000,10696412,191,0.0031,60%
III,10870001,10880000,10874725,206,0.0004,60%
III,10920001,10930000,10924055,240,0.0014,60%
III,11780001,11790000,11787115,180,0.0034,60%
III,13500001,13510000,13504648,210,0.0004,60%
III,13690001,13700000,13694357,180,0.0036,60%
IV,870001,880000,873088,180,0.0034,60%
IV,1980001,1990000,1984827,178,0.0005,60%
IV,2150001,2160000,2154752,210,0.0053,60%
IV,2170001,2180000,2175033,224,0.0024,60%
IV,2230001,2240000,2235197,208,0.0053,60%
IV,2370001,2380000,2375611,192,0.0,60%
IV,2600001,2610000,2604110,164,0.0033,60%
IV,2610001,2620000,2616129,208,0.0035,60%
IV,2670001,2680000,2674472,180,0.0,60%
IV,3280001,3290000,3285401,245,0.0038,60%
IV,3880001,3890000,3886089,180,0.0,60%
IV,4170001,4180000,4175971,162,0.0,60%
IV,4410001,4420000,4416807,267,0.0075,60%
IV,4420001,4430000,4423905,175,0.0167,60%
IV,4930001,4940000,4932508,180,0.0009,60%
IV,5220001,5230000,5224017,179,0.0005,60%
IV,5990001,6000000,5992596,180,0.0,60%
IV,6110001,6120000,6115801,161,0.0,60%
IV,6150001,6160000,6155271,209,0.0,60%
IV,6340001,6350000,6345559,180,0.0,60%
IV,6600001,6610000,6604616,240,0.0015,60%
IV,6610001,6620000,6613057,180,0.0,60%
IV,6740001,6750000,6742752,181,0.0009,60%
IV,6850001,6860000,6854102,210,0.002,60%
IV,7010001,7020000,7014630,180,0.0,60%
IV,7230001,7240000,7235541,220,0.0003,60%
IV,7270001,7280000,7273404,177,0.001,60%
IV,7610001,7620000,7614710,179,0.0,60%
IV,7740001,7750000,7743784,180,0.0,60%
IV,7930001,7940000,7937054,180,0.0005,60%
IV,8220001,8230000,8226161,238,0.0,60%
IV,8710001,8720000,8715047,180,0.0016,60%
IV,9030001,9040000,9033102,173,0.0006,60%
IV,9080001,9090000,9085378,210,0.0004,60%
IV,9350001,9360000,9356311,178,0.0005,60%
IV,9390001,9400000,9395310,210,0.0004,60%
IV,9430001,9440000,9435326,210,0.0,60%
IV,9580001,9590000,9585388,240,0.0,60%
IV,9930001,9940000,9935063,180,0.0,60%
IV,9970001,9980000,9976247,180,0.0,60%
IV,10050001,10060000,10056207,180,0.0,60%
IV,10140001,10150000,10145251,180,0.0005,60%
IV,10150001,10160000,10155012,210,0.0,60%
IV,10160001,10170000,10165007,239,0.0,60%
IV,10670001,10680000,10675492,270,0.0011,60%
IV,10920001,10930000,10925251,180,0.0005,60%
IV,11150001,11160000,11155101,168,0.0,60%
IV,11180001,11190000,11182784,178,0.0005,60%
IV,11400001,11410000,11403630,180,0.0027,60%
IV,11570001,11580000,11575290,300,0.0,60%
IV,11620001,11630000,11625408,240,0.0003,60%
IV,11740001,11750000,11744528,240,0.0,60%
IV,11790001,11800000,11794007,180,0.0014,60%
IV,11950001,11960000,11955131,266,0.0009,60%
IV,11970001,11980000,11976640,210,0.0007,60%
IV,12140001,12150000,12145406,238,0.0,60%
IV,12260001,12270000,12264869,180,0.0,60%
IV,12340001,12350000,12345330,210,0.0,60%
IV,12380001,12390000,12383059,210,0.0026,60%
IV,13800001,13810000,13804244,161,0.0,60%
IV,14150001,14160000,14155792,179,0.0009,60%
IV,14250001,14260000,14253084,180,0.0011,60%
IV,14420001,14430000,14422147,180,0.0,60%
IV,14570001,14580000,14575212,240,0.0051,60%
IV,15430001,15440000,15435288,184,0.0,60%
IV,16080001,16090000,16084565,180,0.0032,60%
IV,16370001,16380000,16374519,173,0.0006,60%
IV,16540001,16550000,16545881,160,0.0,60%
IV,17110001,17120000,17115415,180,0.0,60%
IV,17140001,17150000,17145057,175,0.003,60%
IV,17330001,17340000,17334766,210,0.0068,60%
V,140001,150000,148188,180,0.0027,60%
V,170001,180000,175976,212,0.0014,60%
V,200001,210000,206381,167,0.0,60%
V,290001,300000,296379,205,0.0,60%
V,810001,820000,816647,236,0.0,60%
V,1170001,1180000,1175705,171,0.0006,60%
V,1500001,1510000,1503586,180,0.0038,60%
V,1520001,1530000,1526267,179,0.0,60%
V,2190001,2200000,2196340,240,0.0003,60%
V,2730001,2740000,2733786,170,0.0,60%
V,2790001,2800000,2793539,210,0.0004,60%
V,3110001,3120000,3116443,180,0.0005,60%
V,3450001,3460000,3455316,164,0.0068,60%
V,4130001,4140000,4134737,161,0.0,60%
V,4180001,4190000,4185081,167,0.0011,60%
V,4680001,4690000,4683040,172,0.0,60%
V,4890001,4900000,4892883,164,0.0,60%
V,5070001,5080000,5074489,419,0.0134,60%
V,5180001,5190000,5184562,326,0.0019,60%
V,5190001,5200000,5197373,169,0.0025,60%
V,5230001,5240000,5235180,180,0.0014,60%
V,5520001,5530000,5524138,196,0.0035,60%
V,5540001,5550000,5545605,210,0.0004,60%
V,5870001,5880000,5875385,180,0.0014,60%
V,6060001,6070000,6064993,180,0.0022,60%
V,6200001,6210000,6207626,180,0.0013,60%
V,6640001,6650000,6644933,240,0.0021,60%
V,6670001,6680000,6675100,209,0.0004,60%
V,7270001,7280000,7274621,180,0.0005,60%
V,8070001,8080000,8073506,240,0.0003,60%
V,8300001,8310000,8304697,179,0.0,60%
V,8330001,8340000,8335870,240,0.0,60%
V,8410001,8420000,8414728,210,0.0004,60%
V,8440001,8450000,8442882,168,0.0,60%
V,8510001,8520000,8515076,210,0.0,60%
V,8580001,8590000,8583525,210,0.0,60%
V,8690001,8700000,8695843,229,0.006,60%
V,8700001,8710000,8701313,372,0.0139,60%
V,8720001,8730000,8728135,176,0.0017,60%
V,8730001,8740000,8734201,180,0.0009,60%
V,8770001,8780000,8775652,210,0.0016,60%
V,9110001,9120000,9115357,180,0.0,60%
V,9180001,9190000,9187624,240,0.0004,60%
V,9210001,9220000,9214072,180,0.0,60%
V,9250001,9260000,9255008,180,0.0009,60%
V,9330001,9340000,9333339,219,0.0,60%
V,9360001,9370000,9366387,208,0.0027,60%
V,9450001,9460000,9456287,209,0.0004,60%
V,9460001,9470000,9464937,180,0.0,60%
V,9530001,9540000,9535035,240,0.0,60%
V,9560001,9570000,9564135,269,0.0,60%
V,9640001,9650000,9643779,240,0.0,60%
V,9720001,9730000,9725623,240,0.0003,60%
V,10170001,10180000,10176800,209,0.0008,60%
V,10710001,10720000,10713541,180,0.0,60%
