scaffold,start,end,mid,sites,pi_all,species,gen_region
II,7390001,7400000,7397825,893,0.0001,elegans,genic
II,7400001,7410000,7405909,1657,0.0016,elegans,genic
II,7410001,7420000,7411694,442,0.0007,elegans,genic
II,7420001,7430000,7427244,446,0.0,elegans,genic
II,7430001,7440000,7433688,1730,0.0014,elegans,genic
II,7450001,7460000,7456819,970,0.0017,elegans,genic
II,7460001,7470000,7462625,570,0.0,elegans,genic
II,7470001,7480000,7474032,1203,0.0004,elegans,genic
II,7480001,7490000,7489434,465,0.0002,elegans,genic
II,7490001,7500000,7495483,762,0.0002,elegans,genic
II,7500001,7510000,7507423,1073,0.0012,elegans,genic
II,7510001,7520000,7514678,1236,0.0002,elegans,genic
II,7520001,7530000,7527452,466,0.0005,elegans,genic
II,7530001,7540000,7534658,2957,0.0006,elegans,genic
II,7540001,7550000,7544068,1301,0.0008,elegans,genic
II,7550001,7560000,7553634,1002,0.0,elegans,genic
II,7570001,7580000,7576716,1458,0.0007,elegans,genic
II,7580001,7590000,7582908,1878,0.0008,elegans,genic
II,7590001,7600000,7594642,482,0.002,elegans,genic
II,7600001,7610000,7604302,750,0.0005,elegans,genic
II,7610001,7620000,7618224,720,0.0007,elegans,genic
II,7620001,7630000,7620106,211,0.0,elegans,genic
II,7630001,7640000,7631542,1308,0.0004,elegans,genic
II,7640001,7650000,7644137,423,0.0019,elegans,genic
II,7660001,7670000,7665989,1710,0.0008,elegans,genic
II,7670001,7680000,7673226,1513,0.0011,elegans,genic
II,7680001,7690000,7686320,3128,0.0005,elegans,genic
II,7690001,7700000,7693007,1328,0.0007,elegans,genic
II,7700001,7710000,7703751,2093,0.0001,elegans,genic
II,7710001,7720000,7714607,2163,0.0007,elegans,genic
II,7720001,7730000,7729912,176,0.0013,elegans,genic
II,7730001,7740000,7733762,2578,0.0005,elegans,genic
II,7740001,7750000,7745168,2881,0.0007,elegans,genic
II,7750001,7760000,7758680,398,0.0006,elegans,genic
II,7760001,7770000,7765094,1689,0.0011,elegans,genic
II,7770001,7780000,7774241,2803,0.0012,elegans,genic
II,7780001,7790000,7783006,1341,0.0008,elegans,genic
II,7790001,7800000,7793132,941,0.0003,elegans,genic
II,7810001,7820000,7814507,960,0.0006,elegans,genic
II,7820001,7830000,7821799,1409,0.0005,elegans,genic
II,7830001,7840000,7835107,463,0.0002,elegans,genic
II,7840001,7850000,7844847,1727,0.0002,elegans,genic
II,7850001,7860000,7855378,2283,0.0012,elegans,genic
II,7860001,7870000,7863956,3581,0.0009,elegans,genic
II,7870001,7880000,7878773,1071,0.0008,elegans,genic
II,7880001,7890000,7881229,607,0.001,elegans,genic
II,7890001,7900000,7898119,1132,0.0003,elegans,genic
II,7900001,7910000,7902617,921,0.0005,elegans,genic
II,7910001,7920000,7916367,1547,0.0006,elegans,genic
II,7920001,7930000,7925102,1219,0.0012,elegans,genic
II,7940001,7950000,7944361,1699,0.001,elegans,genic
II,7950001,7960000,7959311,337,0.0051,elegans,genic
II,7980001,7990000,7985422,1715,0.0008,elegans,genic
II,7990001,8000000,7994577,1360,0.0001,elegans,genic
II,8000001,8010000,8003563,1247,0.001,elegans,genic
II,8010001,8020000,8015925,1038,0.0003,elegans,genic
II,8020001,8030000,8022744,1028,0.0002,elegans,genic
II,8030001,8040000,8039044,462,0.0007,elegans,genic
II,8040001,8050000,8047145,1455,0.0004,elegans,genic
II,8050001,8060000,8056891,913,0.0012,elegans,genic
II,8060001,8070000,8062557,1349,0.0004,elegans,genic
II,8070001,8080000,8077287,907,0.0004,elegans,genic
II,8080001,8090000,8083942,2276,0.0006,elegans,genic
II,8090001,8100000,8091300,889,0.0008,elegans,genic
II,8100001,8110000,8104797,1577,0.0007,elegans,genic
II,8110001,8120000,8115610,4369,0.0006,elegans,genic
II,8120001,8130000,8122539,920,0.0008,elegans,genic
II,8130001,8140000,8135384,2755,0.0005,elegans,genic
II,8140001,8150000,8146063,1961,0.0006,elegans,genic
II,8150001,8160000,8157116,909,0.0002,elegans,genic
II,8160001,8170000,8164521,3382,0.0006,elegans,genic
II,8170001,8180000,8177738,2111,0.0008,elegans,genic
II,8180001,8190000,8185860,3287,0.0003,elegans,genic
II,8190001,8200000,8195728,820,0.0,elegans,genic
II,8200001,8210000,8204991,427,0.0011,elegans,genic
II,8210001,8220000,8215256,2638,0.0004,elegans,genic
II,8220001,8230000,8221467,700,0.001,elegans,genic
II,8230001,8240000,8234659,2929,0.0003,elegans,genic
II,8240001,8250000,8244479,724,0.0021,elegans,genic
II,8250001,8260000,8253906,726,0.001,elegans,genic
II,8260001,8270000,8266898,693,0.0005,elegans,genic
II,8270001,8280000,8274380,2837,0.0008,elegans,genic
II,8280001,8290000,8283898,803,0.0002,elegans,genic
II,8300001,8310000,8307158,850,0.0001,elegans,genic
II,8310001,8320000,8314583,669,0.0012,elegans,genic
II,8320001,8330000,8323508,1333,0.0005,elegans,genic
II,8330001,8340000,8333451,1697,0.0005,elegans,genic
II,8340001,8350000,8348300,461,0.0004,elegans,genic
II,8350001,8360000,8355124,1355,0.0004,elegans,genic
II,8360001,8370000,8368670,590,0.0,elegans,genic
II,8380001,8390000,8383866,1213,0.0002,elegans,genic
II,8390001,8400000,8395429,1512,0.0008,elegans,genic
II,8400001,8410000,8402841,1633,0.0009,elegans,genic
II,8410001,8420000,8415390,981,0.0,elegans,genic
II,8420001,8430000,8426384,1892,0.0006,elegans,genic
II,8430001,8440000,8431817,1114,0.001,elegans,genic
II,8440001,8450000,8443665,1102,0.0001,elegans,genic
II,8450001,8460000,8455185,1378,0.0005,elegans,genic
II,8460001,8470000,8464643,935,0.0001,elegans,genic
II,8470001,8480000,8476689,531,0.0,elegans,genic
II,8480001,8490000,8484763,2393,0.0007,elegans,genic
II,8490001,8500000,8494714,3901,0.0006,elegans,genic
II,8500001,8510000,8505653,937,0.0009,elegans,genic
II,8520001,8530000,8525144,3503,0.0004,elegans,genic
II,8530001,8540000,8535663,949,0.0004,elegans,genic
II,8540001,8550000,8545496,1848,0.0003,elegans,genic
II,8550001,8560000,8555690,1762,0.0002,elegans,genic
II,8560001,8570000,8564233,1568,0.0002,elegans,genic
II,8570001,8580000,8573907,1948,0.0011,elegans,genic
II,8580001,8590000,8581738,883,0.0001,elegans,genic
II,8590001,8600000,8595990,1244,0.0008,elegans,genic
II,8600001,8610000,8604543,2980,0.0002,elegans,genic
II,8610001,8620000,8614729,1076,0.0004,elegans,genic
II,8620001,8630000,8626558,1773,0.0004,elegans,genic
II,8630001,8640000,8635041,1160,0.0008,elegans,genic
II,8640001,8650000,8644328,2204,0.0005,elegans,genic
II,8650001,8660000,8655398,2562,0.0002,elegans,genic
II,8660001,8670000,8665972,4278,0.0002,elegans,genic
II,8670001,8680000,8673405,2672,0.0003,elegans,genic
II,8680001,8690000,8681971,916,0.0006,elegans,genic
II,8690001,8700000,8695817,1742,0.0005,elegans,genic
II,8700001,8710000,8702503,877,0.0008,elegans,genic
II,8710001,8720000,8718569,1888,0.0007,elegans,genic
II,8720001,8730000,8723839,2049,0.0007,elegans,genic
II,8740001,8750000,8745568,818,0.0,elegans,genic
II,8750001,8760000,8757732,646,0.0005,elegans,genic
II,8760001,8770000,8766351,962,0.0003,elegans,genic
II,8770001,8780000,8775264,2662,0.0002,elegans,genic
II,8800001,8810000,8804960,1890,0.0005,elegans,genic
II,8810001,8820000,8813185,1053,0.0001,elegans,genic
II,8820001,8830000,8826245,353,0.0002,elegans,genic
II,8830001,8840000,8837017,447,0.0056,elegans,genic
II,8840001,8850000,8845513,1750,0.0005,elegans,genic
II,8850001,8860000,8852681,1649,0.0011,elegans,genic
II,8870001,8880000,8879712,578,0.0007,elegans,genic
II,8880001,8890000,8883429,2300,0.0005,elegans,genic
II,8890001,8900000,8899174,456,0.0004,elegans,genic
II,8900001,8910000,8903126,466,0.0012,elegans,genic
II,8930001,8940000,8935759,2311,0.0001,elegans,genic
II,8940001,8950000,8944591,906,0.0001,elegans,genic
II,8950001,8960000,8958494,1819,0.0005,elegans,genic
II,8960001,8970000,8963323,1428,0.0002,elegans,genic
II,8970001,8980000,8972527,2165,0.0004,elegans,genic
II,8980001,8990000,8987422,454,0.0002,elegans,genic
II,8990001,9000000,8996718,2293,0.0005,elegans,genic
II,9000001,9010000,9004512,1033,0.002,elegans,genic
II,9010001,9020000,9015354,2268,0.0001,elegans,genic
II,9020001,9030000,9027830,426,0.0002,elegans,genic
II,9030001,9040000,9037537,1520,0.0003,elegans,genic
II,9040001,9050000,9043938,3736,0.0006,elegans,genic
II,9050001,9060000,9052598,1374,0.0007,elegans,genic
II,9060001,9070000,9067700,1148,0.0009,elegans,genic
II,9080001,9090000,9082750,248,0.0,elegans,genic
II,9090001,9100000,9097089,892,0.0001,elegans,genic
II,9100001,9110000,9104296,1140,0.0003,elegans,genic
II,9110001,9120000,9115451,1994,0.0005,elegans,genic
II,9120001,9130000,9126327,1876,0.0014,elegans,genic
II,9130001,9140000,9135168,1650,0.0006,elegans,genic
II,9140001,9150000,9145795,1333,0.0007,elegans,genic
II,9150001,9160000,9155423,882,0.0003,elegans,genic
II,9160001,9170000,9165432,2901,0.0007,elegans,genic
II,9170001,9180000,9175497,2307,0.0014,elegans,genic
II,9180001,9190000,9184113,3679,0.0009,elegans,genic
II,9190001,9200000,9191022,1435,0.0005,elegans,genic
II,9200001,9210000,9205964,456,0.0,elegans,genic
II,9210001,9220000,9214602,3348,0.0007,elegans,genic
II,9220001,9230000,9224341,878,0.0025,elegans,genic
II,9230001,9240000,9236442,3487,0.0012,elegans,genic
II,9240001,9250000,9245137,2040,0.0005,elegans,genic
II,9260001,9270000,9261287,484,0.0007,elegans,genic
II,9270001,9280000,9274735,919,0.0004,elegans,genic
II,9280001,9290000,9288603,951,0.0003,elegans,genic
II,9290001,9300000,9296791,1829,0.0006,elegans,genic
II,9300001,9310000,9303273,740,0.0027,elegans,genic
II,9310001,9320000,9317971,499,0.0012,elegans,genic
II,9320001,9330000,9323552,1439,0.0003,elegans,genic
II,9330001,9340000,9334804,3707,0.0009,elegans,genic
II,9340001,9350000,9342600,1721,0.0011,elegans,genic
II,9350001,9360000,9354230,196,0.0004,elegans,genic
II,9360001,9370000,9364206,906,0.001,elegans,genic
II,9370001,9380000,9371479,930,0.0014,elegans,genic
II,9380001,9390000,9382151,1363,0.0009,elegans,genic
II,9390001,9400000,9393967,848,0.0009,elegans,genic
II,9400001,9410000,9404335,1832,0.0009,elegans,genic
II,9410001,9420000,9413980,1174,0.0002,elegans,genic
II,9420001,9430000,9425083,1635,0.0003,elegans,genic
II,9430001,9440000,9434825,2015,0.0011,elegans,genic
II,9440001,9450000,9446021,597,0.0008,elegans,genic
II,9450001,9460000,9450272,453,0.0009,elegans,genic
II,9460001,9470000,9466188,519,0.0,elegans,genic
II,9470001,9480000,9473638,795,0.0008,elegans,genic
II,9510001,9520000,9517929,1565,0.0008,elegans,genic
II,9520001,9530000,9525358,598,0.0022,elegans,genic
II,9530001,9540000,9539082,501,0.0005,elegans,genic
II,9540001,9550000,9545415,1444,0.0013,elegans,genic
II,9550001,9560000,9557969,1303,0.0009,elegans,genic
II,9570001,9580000,9577853,2154,0.0009,elegans,genic
II,9580001,9590000,9585342,1812,0.0003,elegans,genic
II,9590001,9600000,9593032,1775,0.0004,elegans,genic
II,9600001,9610000,9606922,1531,0.0018,elegans,genic
II,9610001,9620000,9614342,2190,0.0007,elegans,genic
II,9620001,9630000,9622770,874,0.0019,elegans,genic
II,9630001,9640000,9638866,1084,0.001,elegans,genic
II,9640001,9650000,9644413,2406,0.0009,elegans,genic
II,9650001,9660000,9656939,877,0.0009,elegans,genic
II,9660001,9670000,9666107,975,0.0004,elegans,genic
II,9670001,9680000,9674466,981,0.001,elegans,genic
II,9680001,9690000,9685425,1029,0.0009,elegans,genic
II,9690001,9700000,9696655,1388,0.0005,elegans,genic
II,9700001,9710000,9702480,1940,0.0004,elegans,genic
II,9710001,9720000,9718029,546,0.0007,elegans,genic
II,9720001,9730000,9722618,454,0.0002,elegans,genic
II,9740001,9750000,9745056,1468,0.0,elegans,genic
II,9750001,9760000,9752214,1228,0.0009,elegans,genic
II,9760001,9770000,9765193,1501,0.001,elegans,genic
II,9770001,9780000,9774848,721,0.0005,elegans,genic
II,9780001,9790000,9783284,2157,0.0002,elegans,genic
II,9790001,9800000,9796818,1485,0.0001,elegans,genic
II,9800001,9810000,9805404,819,0.001,elegans,genic
II,9820001,9830000,9827507,324,0.0003,elegans,genic
II,9830001,9840000,9835151,1390,0.0013,elegans,genic
II,9840001,9850000,9844305,888,0.0094,elegans,genic
II,9850001,9860000,9855904,2491,0.0006,elegans,genic
II,9860001,9870000,9863879,3687,0.0006,elegans,genic
II,9870001,9880000,9875624,529,0.0005,elegans,genic
II,9880001,9890000,9887037,1858,0.0003,elegans,genic
II,9890001,9900000,9895654,1989,0.001,elegans,genic
II,9900001,9910000,9907606,1171,0.0005,elegans,genic
II,9910001,9920000,9910117,233,0.0,elegans,genic
II,9920001,9930000,9924936,880,0.0009,elegans,genic
II,9930001,9940000,9936318,1260,0.0009,elegans,genic
II,9940001,9950000,9943594,2196,0.0005,elegans,genic
II,9960001,9970000,9962597,1253,0.0009,elegans,genic
II,9970001,9980000,9974434,1642,0.0009,elegans,genic
II,9990001,10000000,9994396,452,0.0,elegans,genic
II,10000001,10010000,10008145,1109,0.0009,elegans,genic
II,10010001,10020000,10010328,467,0.0,elegans,genic
II,10020001,10030000,10027500,957,0.0031,elegans,genic
II,10030001,10040000,10035606,2275,0.0004,elegans,genic
II,10040001,10050000,10045125,1807,0.0005,elegans,genic
II,10050001,10060000,10056032,2357,0.0014,elegans,genic
II,10060001,10070000,10064358,3920,0.0006,elegans,genic
II,10090001,10100000,10096301,459,0.0002,elegans,genic
II,10100001,10110000,10102832,1696,0.0003,elegans,genic
II,10110001,10120000,10114187,2188,0.0008,elegans,genic
II,10120001,10130000,10125182,1426,0.0005,elegans,genic
II,10130001,10140000,10133887,1116,0.0011,elegans,genic
II,10140001,10150000,10147846,430,0.0019,elegans,genic
II,10150001,10160000,10151781,896,0.0006,elegans,genic
II,10160001,10170000,10164999,1743,0.0005,elegans,genic
II,10170001,10180000,10177070,2937,0.0004,elegans,genic
II,10180001,10190000,10182316,477,0.0006,elegans,genic
II,10190001,10200000,10196916,943,0.0003,elegans,genic
II,10200001,10210000,10203573,890,0.0005,elegans,genic
II,10210001,10220000,10219549,713,0.0007,elegans,genic
II,10220001,10230000,10225520,2067,0.0011,elegans,genic
II,10230001,10240000,10234436,3091,0.0005,elegans,genic
II,10240001,10250000,10245362,1561,0.0007,elegans,genic
II,10250001,10260000,10253899,1753,0.0007,elegans,genic
II,10260001,10270000,10265615,2627,0.0002,elegans,genic
II,10270001,10280000,10272706,464,0.0014,elegans,genic
II,10280001,10290000,10285644,902,0.0004,elegans,genic
II,10290001,10300000,10294632,2658,0.0008,elegans,genic
II,10300001,10310000,10304985,3775,0.0008,elegans,genic
II,10310001,10320000,10315367,2495,0.0015,elegans,genic
II,10320001,10330000,10326484,1870,0.0011,elegans,genic
II,10330001,10340000,10334963,776,0.0008,elegans,genic
II,10340001,10350000,10347091,1960,0.001,elegans,genic
II,10350001,10360000,10351208,544,0.0008,elegans,genic
II,10360001,10370000,10369044,459,0.0025,elegans,genic
II,10380001,10390000,10385933,431,0.0033,elegans,genic
II,10390001,10400000,10397611,2454,0.0008,elegans,genic
II,10410001,10420000,10415245,1016,0.0005,elegans,genic
II,10420001,10430000,10420192,383,0.0006,elegans,genic
II,10430001,10440000,10437203,414,0.0013,elegans,genic
II,10440001,10450000,10445772,703,0.0024,elegans,genic
II,10450001,10460000,10454323,1090,0.0024,elegans,genic
II,10460001,10470000,10465649,1479,0.0017,elegans,genic
II,10470001,10480000,10476854,878,0.001,elegans,genic
II,10480001,10490000,10484095,2252,0.0007,elegans,genic
II,10490001,10500000,10495024,450,0.0002,elegans,genic
II,10500001,10510000,10509032,748,0.0,elegans,genic
II,10510001,10520000,10513653,1096,0.0003,elegans,genic
II,10530001,10540000,10534509,2729,0.0004,elegans,genic
II,10540001,10550000,10545045,1143,0.0005,elegans,genic
II,10550001,10560000,10550833,467,0.0006,elegans,genic
II,10560001,10570000,10562279,1119,0.0001,elegans,genic
II,10570001,10580000,10570827,451,0.0,elegans,genic
II,10580001,10590000,10585768,3342,0.0007,elegans,genic
II,10590001,10600000,10595076,1743,0.0012,elegans,genic
II,10610001,10620000,10615611,441,0.0023,elegans,genic
II,10620001,10630000,10627360,1019,0.0014,elegans,genic
II,10630001,10640000,10633618,659,0.0004,elegans,genic
II,10640001,10650000,10642620,1144,0.0014,elegans,genic
II,10650001,10660000,10653070,802,0.0059,elegans,genic
II,10660001,10670000,10660854,1522,0.0012,elegans,genic
II,10670001,10680000,10677537,1183,0.001,elegans,genic
II,10680001,10690000,10681667,1865,0.001,elegans,genic
II,10690001,10700000,10695056,2278,0.0012,elegans,genic
II,10700001,10710000,10704752,3634,0.0012,elegans,genic
II,10710001,10720000,10711214,1912,0.0004,elegans,genic
II,10720001,10730000,10726066,3032,0.0008,elegans,genic
II,10740001,10750000,10745353,773,0.0004,elegans,genic
II,10750001,10760000,10755523,1696,0.0011,elegans,genic
II,10760001,10770000,10766431,886,0.0006,elegans,genic
II,10770001,10780000,10779480,446,0.001,elegans,genic
II,10780001,10790000,10784233,1598,0.0005,elegans,genic
II,10790001,10800000,10792525,1366,0.0003,elegans,genic
II,10800001,10810000,10809380,529,0.0003,elegans,genic
II,10810001,10820000,10815413,1510,0.001,elegans,genic
II,10820001,10830000,10825869,3482,0.0005,elegans,genic
II,10830001,10840000,10835047,2117,0.001,elegans,genic
II,10840001,10850000,10843918,1031,0.0005,elegans,genic
II,10850001,10860000,10858159,739,0.0006,elegans,genic
II,10860001,10870000,10867758,420,0.001,elegans,genic
II,10870001,10880000,10873925,1977,0.0007,elegans,genic
II,10880001,10890000,10884900,2467,0.0007,elegans,genic
II,10890001,10900000,10890942,1383,0.0004,elegans,genic
II,10900001,10910000,10905375,901,0.0009,elegans,genic
II,10910001,10920000,10918202,1213,0.0009,elegans,genic
II,10920001,10930000,10927117,1655,0.0003,elegans,genic
II,10930001,10940000,10934769,434,0.0024,elegans,genic
II,10940001,10950000,10944825,1372,0.0005,elegans,genic
II,10950001,10960000,10952769,1189,0.0009,elegans,genic
II,10970001,10980000,10975956,817,0.0003,elegans,genic
II,10980001,10990000,10985995,2362,0.0008,elegans,genic
II,10990001,11000000,10993792,1806,0.0006,elegans,genic
II,11000001,11010000,11005081,913,0.0004,elegans,genic
II,11010001,11020000,11013322,1363,0.0001,elegans,genic
II,11020001,11030000,11024799,1228,0.0002,elegans,genic
II,11040001,11050000,11046383,1167,0.0001,elegans,genic
II,11050001,11060000,11055564,3265,0.001,elegans,genic
II,11060001,11070000,11063816,1180,0.0009,elegans,genic
II,11070001,11080000,11079821,265,0.001,elegans,genic
II,11080001,11090000,11085449,3639,0.0009,elegans,genic
II,11090001,11100000,11094628,866,0.0008,elegans,genic
II,11100001,11110000,11104855,871,0.0002,elegans,genic
II,11110001,11120000,11113848,1210,0.0002,elegans,genic
II,11120001,11130000,11125698,1037,0.0003,elegans,genic
II,11130001,11140000,11130097,386,0.0,elegans,genic
II,11140001,11150000,11148818,792,0.0006,elegans,genic
II,11150001,11160000,11152763,1138,0.0009,elegans,genic
II,11170001,11180000,11176266,415,0.0004,elegans,genic
II,11180001,11190000,11186476,1428,0.0004,elegans,genic
II,11200001,11210000,11206467,2481,0.0013,elegans,genic
II,11210001,11220000,11214375,1613,0.001,elegans,genic
II,11220001,11230000,11227687,941,0.0003,elegans,genic
II,11230001,11240000,11235815,2574,0.0005,elegans,genic
II,11240001,11250000,11244344,2190,0.001,elegans,genic
II,11250001,11260000,11257172,782,0.001,elegans,genic
II,11260001,11270000,11269318,392,0.0013,elegans,genic
II,11270001,11280000,11271160,470,0.0005,elegans,genic
II,11280001,11290000,11289861,179,0.0,elegans,genic
II,11290001,11300000,11295511,1806,0.0006,elegans,genic
II,11300001,11310000,11302807,1349,0.0006,elegans,genic
II,11310001,11320000,11313405,513,0.0003,elegans,genic
II,11320001,11330000,11326068,2768,0.0011,elegans,genic
II,11330001,11340000,11339370,439,0.0021,elegans,genic
II,11340001,11350000,11345621,4874,0.0006,elegans,genic
II,11350001,11360000,11357758,1481,0.0005,elegans,genic
II,11360001,11370000,11363574,1741,0.0005,elegans,genic
II,11370001,11380000,11373012,634,0.001,elegans,genic
II,11380001,11390000,11385915,1701,0.0002,elegans,genic
II,11410001,11420000,11415347,1840,0.0013,elegans,genic
II,11420001,11430000,11423137,1623,0.0011,elegans,genic
II,11430001,11440000,11434877,1956,0.0013,elegans,genic
II,11440001,11450000,11447520,433,0.0002,elegans,genic
II,11450001,11460000,11450670,424,0.001,elegans,genic
II,11460001,11470000,11464901,3513,0.0009,elegans,genic
II,11470001,11480000,11474154,2209,0.0011,elegans,genic
II,11480001,11490000,11484806,808,0.0014,elegans,genic
II,11490001,11500000,11492147,1522,0.0007,elegans,genic
II,11510001,11520000,11512982,486,0.0003,elegans,genic
II,11520001,11530000,11524386,1459,0.0008,elegans,genic
II,11530001,11540000,11535187,1416,0.0015,elegans,genic
II,11540001,11550000,11544434,5784,0.0004,elegans,genic
II,11550001,11560000,11555352,1168,0.0008,elegans,genic
II,11560001,11570000,11563200,1818,0.0006,elegans,genic
II,11570001,11580000,11575120,2343,0.0012,elegans,genic
II,11580001,11590000,11585020,3736,0.001,elegans,genic
II,11590001,11600000,11594489,1811,0.0015,elegans,genic
II,11600001,11610000,11606227,2092,0.0007,elegans,genic
II,11610001,11620000,11615716,1592,0.0007,elegans,genic
II,11620001,11630000,11624680,1834,0.0009,elegans,genic
II,11640001,11650000,11648821,1107,0.0016,elegans,genic
II,11650001,11660000,11652364,849,0.0012,elegans,genic
II,11660001,11670000,11665077,1665,0.0002,elegans,genic
II,11670001,11680000,11675421,4305,0.0007,elegans,genic
II,11680001,11690000,11685709,936,0.0008,elegans,genic
II,11690001,11700000,11694689,3355,0.0005,elegans,genic
II,11700001,11710000,11706362,3983,0.0015,elegans,genic
II,11710001,11720000,11716521,462,0.0022,elegans,genic
II,11730001,11740000,11731706,1312,0.0009,elegans,genic
II,11740001,11750000,11742731,871,0.0025,elegans,genic
II,11770001,11780000,11778576,293,0.0008,elegans,genic
II,11780001,11790000,11782213,676,0.0018,elegans,genic
II,11790001,11800000,11795807,2258,0.003,elegans,genic
II,11800001,11810000,11805761,1517,0.0103,elegans,genic
II,11810001,11820000,11814352,848,0.0016,elegans,genic
II,11820001,11830000,11822591,522,0.0006,elegans,genic
II,11830001,11840000,11835030,1266,0.0001,elegans,genic
II,11840001,11850000,11843860,436,0.001,elegans,genic
II,11850001,11860000,11851564,788,0.0022,elegans,genic
II,11860001,11870000,11864429,1189,0.0003,elegans,genic
II,11870001,11880000,11874398,3276,0.0016,elegans,genic
II,11910001,11920000,11916324,1551,0.0008,elegans,genic
II,11920001,11930000,11924084,806,0.0008,elegans,genic
II,11930001,11940000,11932698,1116,0.0042,elegans,genic
II,11950001,11960000,11958675,866,0.0046,elegans,genic
II,11960001,11970000,11963847,1583,0.0009,elegans,genic
II,11970001,11980000,11975928,1775,0.0034,elegans,genic
II,11980001,11990000,11980775,367,0.0038,elegans,genic
II,11990001,12000000,11997808,231,0.0,elegans,genic
II,12000001,12010000,12003821,893,0.0011,elegans,genic
II,12010001,12020000,12012583,586,0.0053,elegans,genic
II,12020001,12030000,12024281,951,0.0016,elegans,genic
II,12030001,12040000,12036285,251,0.0048,elegans,genic
II,12040001,12050000,12046543,821,0.0017,elegans,genic
II,12050001,12060000,12053917,1480,0.0095,elegans,genic
II,12060001,12070000,12065792,2383,0.0027,elegans,genic
II,12070001,12080000,12077489,567,0.0023,elegans,genic
II,12080001,12090000,12082415,264,0.0073,elegans,genic
II,12090001,12100000,12095748,441,0.0091,elegans,genic
II,12110001,12120000,12119183,600,0.0073,elegans,genic
II,12140001,12150000,12148821,1464,0.0019,elegans,genic
II,12150001,12160000,12153802,1886,0.005,elegans,genic
II,12160001,12170000,12167546,1509,0.0029,elegans,genic
II,12170001,12180000,12176181,648,0.0007,elegans,genic
II,12180001,12190000,12186505,330,0.0036,elegans,genic
II,12190001,12200000,12196471,748,0.0043,elegans,genic
II,12200001,12210000,12204825,737,0.0031,elegans,genic
II,12210001,12220000,12215048,1119,0.0011,elegans,genic
II,12220001,12230000,12228200,279,0.0028,elegans,genic
II,12230001,12240000,12232724,488,0.0245,elegans,genic
II,12240001,12250000,12243062,936,0.0009,elegans,genic
II,12250001,12260000,12257512,579,0.0009,elegans,genic
II,12260001,12270000,12264692,688,0.0022,elegans,genic
II,12270001,12280000,12278484,505,0.0014,elegans,genic
II,12280001,12290000,12281972,989,0.001,elegans,genic
II,12290001,12300000,12294562,918,0.0011,elegans,genic
II,12300001,12310000,12305391,1832,0.0076,elegans,genic
II,12320001,12330000,12327073,425,0.002,elegans,genic
II,12340001,12350000,12344965,935,0.0035,elegans,genic
II,12350001,12360000,12350775,458,0.0025,elegans,genic
II,12360001,12370000,12364687,2803,0.0014,elegans,genic
II,12370001,12380000,12377094,549,0.0016,elegans,genic
II,12380001,12390000,12384107,879,0.0026,elegans,genic
II,12390001,12400000,12392615,1263,0.0033,elegans,genic
II,12400001,12410000,12406138,816,0.0037,elegans,genic
II,12410001,12420000,12415695,333,0.0003,elegans,genic
II,12420001,12430000,12422434,940,0.0016,elegans,genic
II,12430001,12440000,12432973,896,0.0059,elegans,genic
II,12440001,12450000,12447463,918,0.0026,elegans,genic
II,12450001,12460000,12452206,730,0.0032,elegans,genic
II,12460001,12470000,12466400,1376,0.0032,elegans,genic
II,12470001,12480000,12476154,894,0.0075,elegans,genic
II,12480001,12490000,12483916,770,0.003,elegans,genic
II,12490001,12500000,12496622,1957,0.0026,elegans,genic
II,12500001,12510000,12500159,317,0.0026,elegans,genic
II,12510001,12520000,12516037,1510,0.0113,elegans,genic
II,12520001,12530000,12526528,327,0.0081,elegans,genic
II,12540001,12550000,12544863,739,0.0008,elegans,genic
II,12550001,12560000,12558562,1501,0.002,elegans,genic
II,12570001,12580000,12575421,1569,0.0025,elegans,genic
II,12580001,12590000,12583011,1103,0.0033,elegans,genic
II,12590001,12600000,12593464,213,0.004,elegans,genic
II,12600001,12610000,12606252,510,0.0032,elegans,genic
II,12610001,12620000,12612683,327,0.0071,elegans,genic
II,12620001,12630000,12627481,179,0.0019,elegans,genic
II,12630001,12640000,12636510,687,0.0029,elegans,genic
II,12640001,12650000,12641520,378,0.0027,elegans,genic
II,12650001,12660000,12658967,426,0.0028,elegans,genic
II,12660001,12670000,12662707,431,0.0016,elegans,genic
II,12670001,12680000,12672992,1085,0.0031,elegans,genic
II,12700001,12710000,12701583,317,0.003,elegans,genic
II,12710001,12720000,12713487,705,0.0137,elegans,genic
II,12720001,12730000,12727841,654,0.0016,elegans,genic
II,12730001,12740000,12734628,1449,0.0058,elegans,genic
II,12760001,12770000,12763899,1667,0.0013,elegans,genic
II,12780001,12790000,12787544,547,0.0027,elegans,genic
II,12790001,12800000,12793879,256,0.0003,elegans,genic
II,12800001,12810000,12807209,792,0.0093,elegans,genic
II,12810001,12820000,12815040,1707,0.0129,elegans,genic
II,12830001,12840000,12832911,1473,0.0022,elegans,genic
II,12840001,12850000,12847470,383,0.005,elegans,genic
II,12850001,12860000,12857156,1874,0.0039,elegans,genic
II,12860001,12870000,12864432,1494,0.0018,elegans,genic
II,12870001,12880000,12873418,189,0.0241,elegans,genic
II,12890001,12900000,12899905,191,0.0009,elegans,genic
II,12900001,12910000,12902936,1106,0.0024,elegans,genic
II,12910001,12920000,12915805,1166,0.0003,elegans,genic
